日期,時段名稱,具體時間,節氣,年柱,年納音,月柱,月納音,日柱,日納音,時柱,時納音,胎元,命宮,年星,月星,日星,時星,時星五行
1978-01-03,亥時,21:00-23:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,丁亥,屋上土,辛卯,子宮,五黃,一白,五黃,六白,金
1978-01-03,晚子時,23:00-24:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,戊子,霹靂火,辛卯,亥宮,五黃,一白,五黃,七赤,金
1978-01-04,早子時,00:00-01:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,戊子,霹靂火,辛卯,亥宮,五黃,一白,六白,七赤,金
1978-01-04,丑時,01:00-03:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,己丑,霹靂火,辛卯,戌宮,五黃,一白,六白,八白,土
1978-01-04,寅時,03:00-05:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,庚寅,松柏木,辛卯,酉宮,五黃,一白,六白,九紫,火
1978-01-04,卯時,05:00-07:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,辛卯,松柏木,辛卯,申宮,五黃,一白,六白,一白,水
1978-01-04,辰時,07:00-09:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,壬辰,長流水,辛卯,未宮,五黃,一白,六白,二黑,土
1978-01-04,巳時,09:00-11:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,癸巳,長流水,辛卯,午宮,五黃,一白,六白,三碧,木
1978-01-04,午時,11:00-13:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,甲午,砂中金,辛卯,巳宮,五黃,一白,六白,四綠,木
1978-01-04,未時,13:00-15:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,乙未,砂中金,辛卯,辰宮,五黃,一白,六白,五黃,土
1978-01-04,申時,15:00-17:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,丙申,山下火,辛卯,卯宮,五黃,一白,六白,六白,金
1978-01-04,酉時,17:00-19:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,丁酉,山下火,辛卯,寅宮,五黃,一白,六白,七赤,金
1978-01-04,戌時,19:00-21:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,戊戌,平地木,辛卯,丑宮,五黃,一白,六白,八白,土
1978-01-04,亥時,21:00-23:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,己亥,平地木,辛卯,子宮,五黃,一白,六白,九紫,火
1978-01-04,晚子時,23:00-24:00,,丁巳,沙中土,庚子,壁上土,丙寅,爐中火,庚子,壁上土,辛卯,亥宮,五黃,一白,六白,一白,水
1978-01-05,早子時,00:00-01:00,小寒,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,庚子,壁上土,壬辰,戌宮,五黃,九紫,七赤,一白,水
1978-01-05,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,辛丑,壁上土,壬辰,酉宮,五黃,九紫,七赤,二黑,土
1978-01-05,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,壬寅,金箔金,壬辰,申宮,五黃,九紫,七赤,三碧,木
1978-01-05,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,癸卯,金箔金,壬辰,未宮,五黃,九紫,七赤,四綠,木
1978-01-05,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,甲辰,覆燈火,壬辰,午宮,五黃,九紫,七赤,五黃,土
